ID,duration,wav,semantics,transcript
be80ecad-591b-33da-9acf-40f2871440bf,6.022875,./data/newmock/Lincoln_sync/be80ecad-591b-33da-9acf-40f2871440bf/be80ecad-591b-33da-9acf-40f2871440bf.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'lincoln'}]},TONIGHT IN LINCOLN THERE'S A MODERATE CHANCE OF RAIN STARTING AT ABOUT FIVE A.M. AND CONTINUING THROUGH THE NIGH
6bfa9800-bee1-33c7-849c-020adfdb9bcd,4.5286875,./data/newmock/Portland_sync/6bfa9800-bee1-33c7-849c-020adfdb9bcd/6bfa9800-bee1-33c7-849c-020adfdb9bcd.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'portland'}]},THIS WEEKEND IN PORTLAND EXPECT A HIGH OF EIGHTY TWO DEGREES AND A LOW OF FIFTY ONE DEGREE
485977ec-1b27-3d3e-8e78-d728450e5a63,4.465,./data/cleanstock/485977ec-1b27-3d3e-8e78-d728450e5a63/485977ec-1b27-3d3e-8e78-d728450e5a63.wav,{'action': 'stock'| 'entities': [{'type': 'company'| 'filler': 'cvs health corp'}]},CVS HEALTH CORP IS CURRENTLY TRADING AT *93.7
d18a376c-5bf1-3af6-a364-1c7b2a35f2fc,3.7424375,./data/newmock/Birmingham_sync/d18a376c-5bf1-3af6-a364-1c7b2a35f2fc/d18a376c-5bf1-3af6-a364-1c7b2a35f2fc.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'birmingham'}]},THE LOW TEMPERATURE IN BIRMINGHAM TODAY IS PREDICTED TO BE NINETEEN DEGREE
d1e77dbd-0398-3f43-a321-575dc2a32d3d,3.3866875,./data/newmock/Austin_sync/d1e77dbd-0398-3f43-a321-575dc2a32d3d/d1e77dbd-0398-3f43-a321-575dc2a32d3d.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'austin'}]},WEDNESDAY IN AUSTIN YOU CAN EXPECT A HIGH OF SIXTY NINE DEGREE
b3d1d767-6482-3a12-9416-ec5375c4f0c2,1.906875,./data/Navigation/cleaned_navi/34sync/b3d1d767-6482-3a12-9416-ec5375c4f0c2/b3d1d767-6482-3a12-9416-ec5375c4f0c2.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'continue'}]}, in a quarter mile continue straigh
c42c08a7-74b2-359b-84d6-93727d202f3c,8.4116875,./data/newmock/NorthLasVegas_sync/c42c08a7-74b2-359b-84d6-93727d202f3c/c42c08a7-74b2-359b-84d6-93727d202f3c.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'north las vegas'}]},FRIDAY THROUGH SUNDAY IN NORTH LAS VEGAS I WILL RISE FROM TWENTY TWO TO TWENTY EIGHT DAYS FROM TWELVE TO SIXTEEN FRIDAY IT'LL B
781ce3cb-607c-3a2f-81dd-f733aab73af30,4.333625,./data/ny_navi/781ce3cb-607c-3a2f-81dd-f733aab73af3/781ce3cb-607c-3a2f-81dd-f733aab73af3.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'take'}| {'type': 'road'| 'filler': 'i six seventy-eight'}| {'type': 'intent'| 'filler': 'merge'}| {'type': 'road'| 'filler': 'i six seventy-eight south'}]}, ATI 678 RAMP ON THE LEFT THEN MERGE ONTO I 678 SOUT
3e0a1ea3-0ef4-3c5e-a48b-2bf16a63d4ea,5.334,./data/cleantime/3e0a1ea3-0ef4-3c5e-a48b-2bf16a63d4ea/3e0a1ea3-0ef4-3c5e-a48b-2bf16a63d4ea.wav,{'action': 'time'| 'entities': [{'type': 'city'| 'filler': 'riverside'}]},TIME IN RIVERSIDE CALIFORNIA UNITED STATES 35 C
654beb00-a993-3ef7-b59b-e213d06e1ac4,3.026875,./data/newmock/Boise_sync/654beb00-a993-3ef7-b59b-e213d06e1ac4/654beb00-a993-3ef7-b59b-e213d06e1ac4.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'boise'}]},TEMPERATURE IN BOISE THURSDAY NIGHT WILL BE TWENTY DEGREE
ee6d9be0-8057-3b90-9af2-14c1bae541b3,2.148375,./data/Navigation/cleaned_navi/203sync/ee6d9be0-8057-3b90-9af2-14c1bae541b3/ee6d9be0-8057-3b90-9af2-14c1bae541b3.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'turn right'}| {'type': 'road'| 'filler': 'carmel valley road'}]}, shoprite on carmel valley roa
b14b5988-d201-38bf-ba5c-a39af2cfd8f1,2.3294375,./data/Navigation/cleaned_navi/237sync/b14b5988-d201-38bf-ba5c-a39af2cfd8f1/b14b5988-d201-38bf-ba5c-a39af2cfd8f1.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'take the next left'}| {'type': 'road'| 'filler': 'hidden valley road'}]}, take the next left onto hidden valley roa
410ae985-e4be-38f7-aedc-d1095fc4bcb5,4.341,./data/cleansun/410ae985-e4be-38f7-aedc-d1095fc4bcb5/410ae985-e4be-38f7-aedc-d1095fc4bcb5.wav,{'action': 'sun'| 'entities': [{'type': 'city'| 'filler': 'port st. lucie'}]},PORT ST. LUCIE TODAY THE SUN WILL SET AT 5:32 P.M
5c2843d1-0195-3cb5-a0b6-0e254f1524d2,3.0653125,./data/Navigation/cleaned_navi/222sync/5c2843d1-0195-3cb5-a0b6-0e254f1524d2/5c2843d1-0195-3cb5-a0b6-0e254f1524d2.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'turn right'}| {'type': 'road'| 'filler': 'compass point drive north'}| {'type': 'intent'| 'filler': 'turn left'}]}, turn right on to compass point drive north then turn lef
a98a84fa-1fd6-35ac-80f6-0fd6cb8de4710,4.8580625,./data/ny_navi/a98a84fa-1fd6-35ac-80f6-0fd6cb8de471/a98a84fa-1fd6-35ac-80f6-0fd6cb8de471.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'merge'}| {'type': 'road'| 'filler': 'i two seventy-eight west'}| {'type': 'intent'| 'filler': 'take'}| {'type': 'road'| 'filler': 'exit forty-six'}]}, MERGE ONTO I-78 WEST THEN USE THE RIGHT TWO LANES TO TAKE EXIT 4
a63e364d-1dea-3939-92a1-76a6d1d1b965,2.0379375,./data/newmock/Phoenix_sync/a63e364d-1dea-3939-92a1-76a6d1d1b965/a63e364d-1dea-3939-92a1-76a6d1d1b965.wav,{'action': 'weather'| 'entities': [{'type': 'city'| 'filler': 'phoenix'}]},NO RAIN IS EXPECTED IN PHOENI
e4024d5d-2436-31e0-86c7-a5d348b50b75,2.019,./data/Navigation/cleaned_navi/179sync/e4024d5d-2436-31e0-86c7-a5d348b50b75/e4024d5d-2436-31e0-86c7-a5d348b50b75.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'take the next left'}| {'type': 'road'| 'filler': 'hillery drive'}]}, take the next left on the hillary driv
5fdfb726-03d0-378f-94e6-07ebe62c5508,5.08625,./data/Navigation/cleaned_navi/161sync/5fdfb726-03d0-378f-94e6-07ebe62c5508/5fdfb726-03d0-378f-94e6-07ebe62c5508.wav,{'action': 'navigation'| 'entities': [{'type': 'intent'| 'filler': 'turn left'}| {'type': 'road'| 'filler': 'barnes canyon road'}| {'type': 'intent'| 'filler': 'turn left'}| {'type': 'road'| 'filler': 'barnes canyon road'}]}, use the left lane to turn left onto barnes canyon road then sharp left to stay on garden canyon roa
